"time","n1","n2","weight",,,,
"t_0","29","10","4.5632976E-4",,,,
"t_0","20","29","4.4284103E-4",,,,
"t_0","23","36","3.960532E-4",,,,
"t_0","27","21","4.0805194E-4",,,,
"t_0","06","01","1.2119529E-4",,,,
"t_0","21","31","3.993381E-4",,,,
"t_0","16","36","4.0262842E-4",,,,
"t_0","30","22","3.7694554E-4",,,,
"t_0","39","02","2.3316588E-4",,,,
"t_0","15","01","2.3037926E-4",,,,
"t_0","11","08","2.0362095E-4",,,,
"t_0","02","38","2.2298055E-4",,,,
"t_0","32","16","4.3635673E-4",,,,
"t_0","21","06","2.1637569E-4",,,,
"t_0","12","16","4.1136544E-4",,,,
"t_0","30","25","4.294417E-4",,,,
"t_0","12","15","4.287351E-4",,,,
"t_0","25","24","3.719374E-4",,,,
"t_0","39","23","4.2285226E-4",,,,
"t_0","28","16","4.2635176E-4",,,,
"t_0","03","40","2.0875418E-4",,,,
"t_0","29","05","2.4372392E-4",,,,
"t_0","22","29","3.865537E-4",,,,
"t_0","19","05","2.3239995E-4",,,,
"t_0","29","35","4.3544237E-4",,,,
"t_0","24","20","3.596224E-4",,,,
"t_0","28","10","4.367733E-4",,,,
"t_0","35","08","2.3866567E-4",,,,
"t_0","12","38","3.6557222E-4",,,,
"t_0","11","09","3.3215425E-4",,,,
"t_0","23","01","2.2765066E-4",,,,
"t_0","28","19","3.925687E-4",,,,
"t_0","38","02","2.2298055E-4",,,,
"t_0","25","39","4.260661E-4",,,,
"t_0","29","13","4.3941542E-4",,,,
"t_0","20","18","3.9669097E-4",,,,
"t_0","18","29","4.0640676E-4",,,,
"t_0","37","24","3.5354705E-4",,,,
"t_0","06","24","1.8488031E-4",,,,
"t_0","10","36","4.093717E-4",,,,
"t_0","05","34","2.5406966E-4",,,,
"t_0","37","22","3.8203836E-4",,,,
"t_0","19","20","4.1091576E-4",,,,
"t_0","22","15","4.039048E-4",,,,
"t_0","08","20","2.4100406E-4",,,,
"t_0","26","05","1.4270651E-4",,,,
"t_0","08","14","2.2801034E-4",,,,
"t_0","24","08","2.0029205E-4",,,,
"t_0","20","10","4.535747E-4",,,,
"t_0","34","23","4.6286505E-4",,,,
"t_0","19","11","3.3594028E-4",,,,
"t_0","38","22","3.4712028E-4",,,,
"t_0","08","35","2.3866567E-4",,,,
"t_0","35","01","2.1946714E-4",,,,
"t_0","16","02","2.4777994E-4",,,,
"t_0","09","34","4.1630332E-4",,,,
"t_0","19","34","4.2991323E-4",,,,
"t_0","10","38","4.0698433E-4",,,,
"t_0","24","36","3.339624E-4",,,,
"t_0","16","18","3.9575985E-4",,,,
"t_0","10","25","4.7371822E-4",,,,
"t_0","18","32","3.9254E-4",,,,
"t_0","34","25","4.8026734E-4",,,,
"t_0","17","27","3.838029E-4",,,,
"t_0","19","04","2.258093E-4",,,,
"t_0","21","25","4.2039852E-4",,,,
"t_0","27","08","2.3809339E-4",,,,
"t_0","35","13","4.2372168E-4",,,,
"t_0","37","39","4.1356584E-4",,,,
"t_0","40","34","4.4632988E-4",,,,
"t_0","18","12","3.766476E-4",,,,
"t_0","18","17","3.557402E-4",,,,
"t_0","01","31","2.191702E-4",,,,
"t_0","05","07","1.2620164E-4",,,,
"t_0","20","34","4.5986407E-4",,,,
"t_0","21","11","3.3759896E-4",,,,
"t_0","02","10","2.5854155E-4",,,,
"t_0","31","17","3.862314E-4",,,,
"t_0","10","05","2.5562E-4",,,,
"t_0","22","32","3.8640655E-4",,,,
"t_0","32","21","4.1812868E-4",,,,
"t_0","13","08","2.4137006E-4",,,,
"t_0","21","34","4.240116E-4",,,,
"t_0","20","36","3.958533E-4",,,,
"t_0","40","02","2.4729857E-4",,,,
"t_0","04","16","2.448046E-4",,,,
"t_0","01","07","1.1866936E-4",,,,
"t_0","24","13","3.6906573E-4",,,,
"t_0","31","38","3.8556586E-4",,,,
"t_0","02","34","2.6610453E-4",,,,
"t_0","31","20","4.2689388E-4",,,,
"t_0","39","20","4.2063495E-4",,,,
"t_0","27","17","3.838029E-4",,,,
"t_0","26","27","2.5565107E-4",,,,
"t_0","40","12","4.0394563E-4",,,,
"t_0","33","17","4.06698E-4",,,,
"t_0","35","06","2.2857024E-4",,,,
"t_0","09","12","3.782263E-4",,,,
"t_0","40","15","4.4072422E-4",,,,
"t_0","40","29","4.2185758E-4",,,,
"t_0","06","33","2.356626E-4",,,,
"t_0","33","10","4.5642603E-4",,,,
"t_0","15","29","4.6232776E-4",,,,
"t_0","12","02","2.3705218E-4",,,,
"t_0","08","11","2.0362095E-4",,,,
"t_0","24","15","3.732985E-4",,,,
"t_0","03","05","1.2775468E-4",,,,
"t_0","11","30","3.5374382E-4",,,,
"t_0","08","02","1.4009244E-4",,,,
"t_0","12","20","4.1664657E-4",,,,
"t_0","24","26","2.2162311E-4",,,,
"t_0","14","39","3.9480015E-4",,,,
"t_0","07","05","1.2620164E-4",,,,
"t_0","39","19","3.8891245E-4",,,,
"t_0","08","27","2.3809339E-4",,,,
"t_0","29","15","4.6232776E-4",,,,
"t_0","13","31","4.3206915E-4",,,,
"t_0","12","32","4.0634352E-4",,,,
"t_0","30","28","4.1315707E-4",,,,
