"time","n1","n2","weight",,,,
"t_0","37","05","21.157055",,,,
"t_0","38","14","26.526258",,,,
"t_0","10","17","11.642036",,,,
"t_0","14","29","18.061949",,,,
"t_0","10","02","45.18355",,,,
"t_0","24","23","14.099396",,,,
"t_0","40","22","2.4352882",,,,
"t_0","30","13","18.279518",,,,
"t_0","32","39","3.2921193",,,,
"t_0","13","23","13.832856",,,,
"t_0","27","02","47.64175",,,,
"t_0","20","07","1.5291774",,,,
"t_0","04","02","16.33023",,,,
"t_0","36","19","36.58123",,,,
"t_0","39","02","5.889684",,,,
"t_0","22","20","0.96882117",,,,
"t_0","22","18","29.21586",,,,
"t_0","20","23","50.394634",,,,
"t_0","06","09","4.901138",,,,
"t_0","17","09","4.2741365",,,,
"t_0","28","35","3.774253",,,,
"t_0","35","06","6.4865746",,,,
"t_0","23","18","32.387993",,,,
"t_0","36","25","12.621916",,,,
"t_0","20","08","0.81587195",,,,
"t_0","12","08","2.9253144",,,,
"t_0","09","24","16.255459",,,,
"t_0","33","38","38.513332",,,,
"t_0","34","27","0.9555437",,,,
"t_0","01","21","25.69222",,,,
"t_0","26","17","13.918908",,,,
"t_0","37","30","9.893453",,,,
"t_0","13","07","0.051289905",,,,
"t_0","04","18","4.588042",,,,
"t_0","34","15","0.45510355",,,,
"t_0","11","13","33.087406",,,,
"t_0","17","40","1.6644486",,,,
"t_0","19","26","41.680832",,,,
"t_0","04","24","1.3147125",,,,
"t_0","30","15","49.205673",,,,
"t_0","09","29","1.9708395",,,,
"t_0","36","01","24.914152",,,,
"t_0","14","32","15.318513",,,,
"t_0","15","33","25.903292",,,,
"t_0","29","13","5.9497643",,,,
"t_0","39","08","32.699883",,,,
"t_0","05","29","24.035679",,,,
"t_0","14","15","3.038966",,,,
"t_0","18","36","15.87018",,,,
"t_0","20","30","19.471277",,,,
"t_0","26","32","7.0253034",,,,
"t_0","37","17","29.352695",,,,
"t_0","35","24","33.302578",,,,
"t_0","12","24","42.31064",,,,
"t_0","15","29","18.916477",,,,
"t_0","28","36","15.866415",,,,
"t_0","17","23","23.554441",,,,
"t_0","16","12","22.274988",,,,
"t_0","19","29","9.893042",,,,
"t_0","36","28","15.866415",,,,
"t_0","29","19","9.893042",,,,
"t_0","19","01","50.599186",,,,
"t_0","34","04","23.377073",,,,
"t_0","34","19","17.182861",,,,
"t_0","32","02","22.560978",,,,
"t_0","09","14","16.132406",,,,
"t_0","15","16","15.629",,,,
"t_0","35","04","13.051106",,,,
"t_0","40","12","9.417911",,,,
"t_0","09","07","10.754992",,,,
"t_0","10","37","43.19886",,,,
"t_0","33","08","31.386703",,,,
"t_0","33","36","42.131416",,,,
"t_0","01","24","4.3989067",,,,
"t_0","39","09","3.5972915",,,,
"t_0","08","17","24.683432",,,,
"t_0","38","24","30.976913",,,,
"t_0","02","14","24.477423",,,,
"t_0","09","32","13.107681",,,,
"t_0","18","03","50.136303",,,,
"t_0","06","28","29.294197",,,,
"t_0","40","27","15.066233",,,,
"t_0","24","02","31.332138",,,,
"t_0","38","26","46.73417",,,,
"t_0","07","08","29.740517",,,,
"t_0","09","16","39.24778",,,,
"t_0","28","16","35.160503",,,,
"t_0","21","35","20.029922",,,,
"t_0","03","34","16.709038",,,,
"t_0","21","11","19.164698",,,,
"t_0","01","14","35.5498",,,,
"t_0","05","17","7.8309426",,,,
"t_0","22","09","31.93862",,,,
"t_0","14","34","48.714363",,,,
"t_0","36","26","2.796144",,,,
"t_0","01","18","25.462387",,,,
"t_0","30","20","19.471277",,,,
"t_0","31","25","5.8511257",,,,
"t_0","24","26","11.778408",,,,
"t_0","16","21","37.26577",,,,
"t_0","40","14","23.02439",,,,
"t_0","11","27","8.605638",,,,
"t_0","28","10","2.7680767",,,,
"t_0","21","29","14.891864",,,,
"t_0","14","09","16.132406",,,,
"t_0","07","22","8.490491",,,,
"t_0","26","04","19.668798",,,,
"t_0","04","23","35.804745",,,,
"t_0","21","07","32.0779",,,,
"t_0","13","39","8.874729",,,,
"t_0","17","19","19.346033",,,,
"t_0","22","10","11.308112",,,,
"t_0","22","30","5.0015593",,,,
"t_0","26","40","16.102352",,,,
"t_0","05","04","16.64127",,,,
"t_0","12","16","22.274988",,,,
"t_0","01","29","1.7126694",,,,
"t_0","40","30","27.57656",,,,
"t_0","15","13","7.668315",,,,
"t_0","23","11","24.73773",,,,
"t_0","24","38","30.976913",,,,
"t_0","30","10","25.473562",,,,
"t_0","06","11","20.180735",,,,
"t_0","18","31","10.111963",,,,
"t_0","23","14","0.51993215",,,,
"t_0","25","18","14.298739",,,,
"t_0","12","14","23.233028",,,,
"t_0","10","09","25.363997",,,,
"t_0","17","35","9.99246",,,,
"t_0","01","27","5.7590213",,,,
"t_0","31","18","10.111963",,,,
"t_0","23","04","35.804745",,,,
"t_0","05","19","0.1166166",,,,
"t_0","07","27","43.212627",,,,
"t_0","33","19","30.398035",,,,
"t_0","18","21","35.26548",,,,
"t_0","02","33","34.821213",,,,
"t_0","27","25","7.0822716",,,,
"t_0","04","27","23.348783",,,,
"t_0","40","38","21.688908",,,,
"t_0","21","01","25.69222",,,,
"t_0","12","34","0.4492958",,,,
"t_0","12","21","34.24787",,,,
"t_0","08","06","15.287417",,,,
"t_0","24","11","13.495255",,,,
"t_0","38","19","36.62649",,,,
"t_0","02","18","42.549297",,,,
"t_0","14","08","44.512657",,,,
"t_0","34","33","39.11075",,,,
"t_0","02","19","21.094912",,,,
"t_0","16","28","35.160503",,,,
"t_0","01","34","44.885975",,,,
"t_0","12","30","26.111734",,,,
"t_0","25","38","23.921974",,,,
"t_0","18","22","29.21586",,,,
"t_0","24","29","10.209288",,,,
"t_0","09","01","23.27242",,,,
"t_0","10","04","21.695398",,,,
"t_0","28","02","0.30728513",,,,
"t_0","14","03","50.01235",,,,
"t_0","27","16","14.645759",,,,
"t_0","07","18","2.0037682",,,,
"t_0","02","04","16.33023",,,,
"t_0","38","31","1.7866821",,,,
"t_0","28","11","26.276043",,,,
"t_0","31","19","20.567865",,,,
"t_0","36","10","10.38378",,,,
"t_0","25","04","13.156023",,,,
"t_0","27","17","19.842422",,,,
"t_0","09","19","6.2833095",,,,
"t_0","10","23","31.375942",,,,
"t_0","15","08","7.356591",,,,
"t_0","36","04","4.4821925",,,,
"t_0","03","14","50.01235",,,,
"t_0","13","31","0.88009757",,,,
"t_0","28","25","9.881258",,,,
"t_0","06","35","6.4865746",,,,
"t_0","04","25","13.156023",,,,
"t_0","15","02","24.401785",,,,
"t_0","10","31","32.394505",,,,
"t_0","03","01","15.266875",,,,
"t_0","30","17","28.177467",,,,
"t_0","23","37","9.212859",,,,
"t_0","01","22","20.772867",,,,
"t_0","36","32","57.724323",,,,
"t_0","13","30","18.279518",,,,
"t_0","39","27","7.915306",,,,
"t_0","07","09","10.754992",,,,
"t_0","31","32","1.5630736",,,,
"t_0","01","36","24.914152",,,,
"t_0","31","27","16.40462",,,,
"t_0","20","21","30.034966",,,,
"t_0","27","31","16.40462",,,,
"t_0","15","14","3.038966",,,,
"t_0","09","25","24.786175",,,,
"t_0","32","15","41.47867",,,,
"t_0","01","26","2.2580972",,,,
"t_0","08","29","22.39161",,,,
"t_0","13","35","24.744772",,,,
"t_0","08","21","33.495327",,,,
"t_0","12","02","42.238373",,,,
"t_0","16","20","24.528229",,,,
"t_0","01","40","17.338026",,,,
"t_0","38","07","15.99238",,,,
"t_0","06","39","1.421875",,,,
"t_0","28","06","29.294197",,,,
"t_0","02","12","42.238373",,,,
"t_0","22","40","2.4352882",,,,
"t_0","40","28","48.41693",,,,
"t_0","25","16","32.34401",,,,
"t_0","11","10","6.6883745",,,,
"t_0","36","35","38.314796",,,,
"t_0","23","12","24.611973",,,,
"t_0","32","24","13.139512",,,,
"t_0","04","05","16.64127",,,,
"t_0","22","35","8.390741",,,,
"t_0","07","21","32.0779",,,,
"t_0","09","31","5.8566856",,,,
"t_0","30","18","58.999874",,,,
"t_0","09","03","1.2313131",,,,
"t_0","09","22","31.93862",,,,
"t_0","34","03","16.709038",,,,
"t_0","07","02","4.5602736",,,,
"t_0","31","22","41.33641",,,,
"t_0","25","32","11.238435",,,,
"t_0","25","31","5.8511257",,,,
"t_0","36","11","15.692714",,,,
"t_0","13","10","4.94982",,,,
"t_0","12","22","9.82424",,,,
"t_0","37","24","3.2364001",,,,
"t_0","19","05","0.1166166",,,,
"t_0","11","19","12.654367",,,,
"t_0","16","25","32.34401",,,,
"t_0","36","17","10.908023",,,,
"t_0","21","30","3.019102",,,,
"t_0","29","11","5.2736487",,,,
"t_0","05","24","20.069689",,,,
"t_0","25","02","28.737803",,,,
"t_0","16","36","29.83116",,,,
"t_0","17","10","11.642036",,,,
"t_0","38","36","10.983443",,,,
"t_0","02","15","24.401785",,,,
"t_0","20","05","9.786295",,,,
"t_0","27","04","23.348783",,,,
"t_0","24","32","13.139512",,,,
"t_0","32","12","22.56145",,,,
"t_0","11","21","19.164698",,,,
"t_0","07","13","0.051289905",,,,
"t_0","27","29","31.371946",,,,
"t_0","33","15","25.903292",,,,
"t_0","20","03","17.339668",,,,
"t_0","35","25","29.475637",,,,
"t_0","23","26","30.812803",,,,
"t_0","14","04","75.16402",,,,
"t_0","08","39","32.699883",,,,
"t_0","38","12","6.3388186",,,,
"t_0","16","10","0.91741985",,,,
"t_0","29","24","10.209288",,,,
"t_0","25","19","35.27119",,,,
"t_0","35","17","9.99246",,,,
"t_0","13","05","0.7214878",,,,
"t_0","07","32","28.522404",,,,
"t_0","31","09","5.8566856",,,,
"t_0","17","36","10.908023",,,,
"t_0","31","08","34.325687",,,,
"t_0","09","05","49.375042",,,,
"t_0","38","02","2.3552804",,,,
"t_0","05","09","49.375042",,,,
"t_0","31","29","16.592001",,,,
"t_0","30","04","34.983612",,,,
"t_0","08","13","12.856421",,,,
"t_0","15","11","12.180494",,,,
"t_0","11","02","15.617149",,,,
"t_0","12","01","1.4577419",,,,
"t_0","12","38","6.3388186",,,,
"t_0","24","15","17.710533",,,,
"t_0","19","28","0.5559707",,,,
"t_0","07","39","12.7429",,,,
"t_0","40","05","29.734455",,,,
"t_0","09","40","4.1374774",,,,
"t_0","35","28","3.774253",,,,
"t_0","39","40","7.87668",,,,
"t_0","02","25","28.737803",,,,
"t_0","21","17","21.584429",,,,
"t_0","36","24","30.848745",,,,
"t_0","03","20","17.339668",,,,
"t_0","13","37","30.288847",,,,
