"time","n1","n2","weight",,,,
"t_0","28","18","1.8449156E-5",,,,
"t_0","20","05","1.2968496E-5",,,,
"t_0","23","09","2.6961627E-5",,,,
"t_0","26","31","1.6959342E-5",,,,
"t_0","05","32","1.7651877E-5",,,,
"t_0","21","06","1.5235917E-5",,,,
"t_0","16","16","0.034049023",,,,
"t_0","29","29","0.049060874",,,,
"t_0","38","01","1.7700735E-5",,,,
"t_0","14","23","1.3818587E-5",,,,
"t_0","10","34","2.420408E-5",,,,
"t_0","02","32","1.7928516E-5",,,,
"t_0","31","21","2.0984737E-5",,,,
"t_0","20","22","1.9464353E-5",,,,
"t_0","11","40","1.6889539E-5",,,,
"t_0","29","32","2.2717852E-5",,,,
"t_0","11","39","1.1416383E-5",,,,
"t_0","24","36","1.6329046E-5",,,,
"t_0","38","22","1.9003983E-5",,,,
"t_0","27","25","2.0596692E-5",,,,
"t_0","03","33","1.8108152E-5",,,,
"t_0","28","13","2.319471E-5",,,,
"t_0","22","03","1.5394446E-5",,,,
"t_0","18","23","1.7540156E-5",,,,
"t_0","29","02","1.6347758E-5",,,,
"t_0","23","33","2.6883517E-5",,,,
"t_0","27","19","1.5002077E-5",,,,
"t_0","34","10","2.420408E-5",,,,
"t_0","12","22","2.2769496E-5",,,,
"t_0","10","35","2.81242E-5",,,,
"t_0","22","15","1.2959451E-5",,,,
"t_0","27","28","1.7022381E-5",,,,
"t_0","37","02","1.8602625E-5",,,,
"t_0","25","10","2.1102911E-5",,,,
"t_0","28","21","1.3436127E-5",,,,
"t_0","19","35","2.5716487E-5",,,,
"t_0","18","07","1.7315979E-5",,,,
"t_0","36","25","1.7437334E-5",,,,
"t_0","06","14","1.30176E-5",,,,
"t_0","10","22","2.4437893E-5",,,,
"t_0","05","25","1.6146629E-5",,,,
"t_0","36","23","2.0012318E-5",,,,
"t_0","18","37","1.7660863E-5",,,,
"t_0","21","30","1.2762549E-5",,,,
"t_0","08","08","0.051232334",,,,
"t_0","25","16","1.8056233E-5",,,,
"t_0","08","02","1.2766674E-5",,,,
"t_0","23","21","1.621878E-5",,,,
"t_0","19","27","1.5002077E-5",,,,
"t_0","33","26","1.7293592E-5",,,,
"t_0","18","29","1.6769876E-5",,,,
"t_0","37","22","1.784287E-5",,,,
"t_0","08","23","2.3007336E-5",,,,
"t_0","34","03","1.885448E-5",,,,
"t_0","15","23","2.8488766E-5",,,,
"t_0","09","21","1.7334689E-5",,,,
"t_0","19","11","1.4730542E-5",,,,
"t_0","10","24","1.8603181E-5",,,,
"t_0","24","08","1.331046E-5",,,,
"t_0","15","38","1.6915754E-5",,,,
"t_0","10","11","1.5359321E-5",,,,
"t_0","18","10","2.615333E-5",,,,
"t_0","33","28","1.2171841E-5",,,,
"t_0","17","06","2.6488135E-5",,,,
"t_0","18","22","1.41175315E-5",,,,
"t_0","20","40","1.8389685E-5",,,,
"t_0","26","18","2.3723278E-5",,,,
"t_0","34","15","3.0110987E-5",,,,
"t_0","36","39","1.1108054E-5",,,,
"t_0","39","32","2.5349016E-5",,,,
"t_0","17","31","3.596451E-5",,,,
"t_0","17","36","1.7145083E-5",,,,
"t_0","01","26","1.232474E-5",,,,
"t_0","04","38","1.6730039E-5",,,,
"t_0","20","10","2.4401581E-5",,,,
"t_0","20","27","2.1340094E-5",,,,
"t_0","02","04","1.5667361E-5",,,,
"t_0","30","23","1.4937302E-5",,,,
"t_0","09","32","3.140749E-5",,,,
"t_0","22","06","1.838641E-5",,,,
"t_0","31","26","1.6959342E-5",,,,
"t_0","12","32","2.68568E-5",,,,
"t_0","21","09","1.7334689E-5",,,,
"t_0","20","12","1.9360763E-5",,,,
"t_0","38","40","1.4118788E-5",,,,
"t_0","04","08","1.3417858E-5",,,,
"t_0","40","10","2.1525091E-5",,,,
"t_0","01","02","1.2538498E-5",,,,
"t_0","23","26","1.4324147E-5",,,,
"t_0","31","03","2.0527772E-5",,,,
"t_0","02","28","1.785885E-5",,,,
"t_0","30","26","1.3713643E-5",,,,
"t_0","38","19","1.8396711E-5",,,,
"t_0","26","27","1.701554E-5",,,,
"t_0","25","37","1.7462422E-5",,,,
"t_0","39","10","2.2880457E-5",,,,
