"time","n1","n2","weight",,,,
"1940-01-01","Bulgaria","Romania","2.0",,,,
"1940-01-01","Romania","Bulgaria","1.0",,,,
"1941-01-01","Romania","Bulgaria","1.0",,,,
"1941-01-01","Bulgaria","Romania","3.0",,,,
"1941-01-01","Hungary","Russia","2.0",,,,
"1942-01-01","Bulgaria","Romania","7.0",,,,
"1942-01-01","Russia","Hungary","1.0",,,,
"1942-01-01","Romania","Bulgaria","4.0",,,,
"1943-01-01","Bulgaria","Romania","11.0",,,,
"1943-01-01","Russia","Hungary","1.0",,,,
"1943-01-01","Romania","Bulgaria","4.0",,,,
"1943-01-01","Hungary","Russia","2.0",,,,
"1944-01-01","Romania","Bulgaria","2.0",,,,
"1944-01-01","Bulgaria","Romania","8.0",,,,
"1945-01-01","Bulgaria","Greece","1.0",,,,
"1945-01-01","Hungary","Russia","1.0",,,,
"1945-01-01","Romania","Bulgaria","3.0",,,,
"1945-01-01","Bulgaria","Romania","4.0",,,,
"1946-01-01","Bulgaria","Romania","1.0",,,,
"1946-01-01","Romania","Bulgaria","2.0",,,,
"1946-01-01","Russia","Hungary","12.0",,,,
"1946-01-01","Hungary","Russia","10.0",,,,
"1946-01-01","Bulgaria","Greece","1.0",,,,
"1947-01-01","Bulgaria","Romania","1.0",,,,
"1947-01-01","Hungary","Russia","16.0",,,,
"1947-01-01","Russia","Hungary","14.0",,,,
"1947-01-01","Romania","Bulgaria","1.0",,,,
"1948-01-01","Romania","Yugoslavia","2.0",,,,
"1948-01-01","Greece","Yugoslavia","1.0",,,,
"1948-01-01","Norway","Italy","29.0",,,,
"1948-01-01","Sweden","Bulgaria","1.0",,,,
"1948-01-01","Ireland","Denmark","1.0",,,,
"1948-01-01","Russia","Sweden","17.0",,,,
"1948-01-01","Russia","Portugal","1.0",,,,
"1948-01-01","Ireland","Sweden","10.0",,,,
"1948-01-01","Denmark","Sweden","47.0",,,,
"1948-01-01","Portugal","Netherlands","10.0",,,,
"1948-01-01","Poland","Italy","20.0",,,,
"1948-01-01","Greece","France","6.0",,,,
"1948-01-01","Portugal","Italy","5.0",,,,
"1948-01-01","Romania","Poland","5.0",,,,
"1948-01-01","Yugoslavia","Bulgaria","5.0",,,,
"1948-01-01","Spain","France","3.0",,,,
"1948-01-01","Portugal","Spain","3.0",,,,
"1948-01-01","Greece","Portugal","1.0",,,,
"1948-01-01","Denmark","Portugal","2.0",,,,
"1948-01-01","Norway","France","34.0",,,,
"1948-01-01","Sweden","Yugoslavia","8.0",,,,
"1948-01-01","Sweden","Portugal","5.0",,,,
"1948-01-01","Yugoslavia","Sweden","5.0",,,,
"1948-01-01","Bulgaria","Yugoslavia","4.0",,,,
"1948-01-01","Sweden","Spain","15.0",,,,
"1948-01-01","Spain","Norway","6.0",,,,
"1948-01-01","Hungary","Italy","3.0",,,,
"1948-01-01","Portugal","Norway","8.0",,,,
"1948-01-01","France","Bulgaria","2.0",,,,
"1948-01-01","Hungary","Yugoslavia","25.0",,,,
"1948-01-01","Netherlands","Spain","14.0",,,,
"1948-01-01","Netherlands","Greece","2.0",,,,
"1948-01-01","Russia","Norway","19.0",,,,
"1948-01-01","Netherlands","France","92.0",,,,
"1948-01-01","Sweden","Poland","81.0",,,,
"1948-01-01","Italy","Yugoslavia","19.0",,,,
"1948-01-01","Italy","Netherlands","23.0",,,,
"1948-01-01","Ireland","France","5.0",,,,
"1948-01-01","Hungary","Poland","5.0",,,,
"1948-01-01","Denmark","Poland","40.0",,,,
"1948-01-01","Sweden","Netherlands","70.0",,,,
"1948-01-01","Yugoslavia","Poland","23.0",,,,
"1948-01-01","Denmark","Spain","4.0",,,,
"1948-01-01","Romania","Netherlands","1.0",,,,
"1948-01-01","Russia","Poland","111.0",,,,
"1948-01-01","Poland","Denmark","15.0",,,,
"1948-01-01","France","Netherlands","86.0",,,,
"1948-01-01","Bulgaria","Italy","4.0",,,,
"1948-01-01","Norway","Denmark","37.0",,,,
"1948-01-01","Greece","Sweden","7.0",,,,
"1948-01-01","Italy","Sweden","23.0",,,,
"1948-01-01","Spain","Portugal","2.0",,,,
"1948-01-01","Norway","Portugal","2.0",,,,
"1948-01-01","Greece","Italy","17.0",,,,
"1948-01-01","Italy","Greece","11.0",,,,
"1948-01-01","Norway","Hungary","1.0",,,,
"1948-01-01","Denmark","Italy","23.0",,,,
"1948-01-01","Bulgaria","Sweden","1.0",,,,
"1948-01-01","Italy","Hungary","2.0",,,,
"1948-01-01","Netherlands","Poland","12.0",,,,
"1948-01-01","Denmark","Norway","31.0",,,,
"1948-01-01","Bulgaria","France","2.0",,,,
"1948-01-01","Yugoslavia","Hungary","14.0",,,,
"1948-01-01","Sweden","Romania","5.0",,,,
"1948-01-01","Poland","Netherlands","16.0",,,,
"1948-01-01","France","Norway","28.0",,,,
"1948-01-01","Greece","Romania","1.0",,,,
"1948-01-01","Greece","Netherlands","4.0",,,,
"1948-01-01","Poland","France","14.0",,,,
"1948-01-01","Hungary","France","4.0",,,,
"1948-01-01","Bulgaria","Russia","83.0",,,,
"1948-01-01","Netherlands","Romania","4.0",,,,
"1948-01-01","Hungary","Netherlands","9.0",,,,
"1948-01-01","Italy","Spain","9.0",,,,
"1948-01-01","Portugal","Sweden","11.0",,,,
"1948-01-01","Greece","Norway","2.0",,,,
"1948-01-01","France","Poland","33.0",,,,
"1948-01-01","Russia","Netherlands","4.0",,,,
"1948-01-01","Sweden","Norway","43.0",,,,
"1948-01-01","Russia","Denmark","19.0",,,,
"1948-01-01","Hungary","Bulgaria","2.0",,,,
"1948-01-01","Norway","Spain","6.0",,,,
"1948-01-01","Romania","Hungary","2.0",,,,
"1948-01-01","Netherlands","Portugal","6.0",,,,
"1948-01-01","Sweden","Greece","3.0",,,,
"1948-01-01","Romania","Sweden","1.0",,,,
"1948-01-01","Netherlands","Denmark","15.0",,,,
"1948-01-01","Netherlands","Ireland","8.0",,,,
"1948-01-01","Yugoslavia","France","6.0",,,,
"1948-01-01","Hungary","Russia","25.0",,,,
"1948-01-01","France","Ireland","1.0",,,,
"1948-01-01","Sweden","Italy","47.0",,,,
"1948-01-01","Spain","Denmark","4.0",,,,
"1948-01-01","Denmark","Russia","16.0",,,,
"1948-01-01","Norway","Netherlands","25.0",,,,
"1948-01-01","Ireland","Norway","1.0",,,,
"1948-01-01","Italy","Denmark","26.0",,,,
"1948-01-01","Italy","Portugal","5.0",,,,
"1948-01-01","Romania","Bulgaria","1.0",,,,
"1948-01-01","Poland","Yugoslavia","29.0",,,,
"1948-01-01","Sweden","Hungary","5.0",,,,
"1948-01-01","Spain","Netherlands","12.0",,,,
"1948-01-01","Hungary","Denmark","1.0",,,,
"1948-01-01","Sweden","Russia","13.0",,,,
"1948-01-01","Russia","Bulgaria","64.0",,,,
"1948-01-01","Spain","Sweden","11.0",,,,
"1948-01-01","Yugoslavia","Romania","5.0",,,,
"1948-01-01","Denmark","Netherlands","17.0",,,,
"1948-01-01","France","Denmark","28.0",,,,
"1948-01-01","Norway","Yugoslavia","1.0",,,,
"1948-01-01","Denmark","Hungary","1.0",,,,
"1948-01-01","Hungary","Sweden","6.0",,,,
"1948-01-01","Ireland","Portugal","2.0",,,,
"1948-01-01","Ireland","Spain","4.0",,,,
"1948-01-01","Norway","Sweden","99.0",,,,
"1948-01-01","Romania","Italy","4.0",,,,
"1948-01-01","Netherlands","Norway","27.0",,,,
"1948-01-01","Russia","Yugoslavia","45.0",,,,
"1948-01-01","Yugoslavia","Netherlands","23.0",,,,
"1948-01-01","France","Greece","6.0",,,,
"1948-01-01","Bulgaria","Poland","9.0",,,,
"1948-01-01","Poland","Bulgaria","7.0",,,,
"1948-01-01","Netherlands","Sweden","74.0",,,,
"1948-01-01","Bulgaria","Romania","2.0",,,,
"1948-01-01","Poland","Norway","15.0",,,,
"1948-01-01","France","Yugoslavia","4.0",,,,
"1948-01-01","Italy","Poland","18.0",,,,
"1948-01-01","Ireland","Poland","1.0",,,,
"1948-01-01","Bulgaria","Hungary","2.0",,,,
"1948-01-01","Poland","Romania","6.0",,,,
"1948-01-01","Bulgaria","Netherlands","1.0",,,,
"1948-01-01","Sweden","Denmark","43.0",,,,
"1948-01-01","Russia","Hungary","28.0",,,,
"1948-01-01","Netherlands","Hungary","7.0",,,,
"1948-01-01","Spain","Ireland","1.0",,,,
"1948-01-01","Greece","Denmark","1.0",,,,
"1948-01-01","France","Italy","59.0",,,,
"1948-01-01","Ireland","Netherlands","9.0",,,,
"1948-01-01","Italy","Norway","10.0",,,,
"1948-01-01","Italy","France","16.0",,,,
"1948-01-01","Russia","Italy","3.0",,,,
"1948-01-01","Norway","Poland","23.0",,,,
"1948-01-01","Norway","Russia","27.0",,,,
"1948-01-01","Yugoslavia","Italy","34.0",,,,
"1948-01-01","Portugal","France","14.0",,,,
"1948-01-01","Portugal","Denmark","4.0",,,,
"1948-01-01","Ireland","Greece","1.0",,,,
"1948-01-01","Hungary","Romania","4.0",,,,
"1948-01-01","Italy","Russia","4.0",,,,
"1948-01-01","France","Sweden","50.0",,,,
"1948-01-01","Norway","Greece","1.0",,,,
"1948-01-01","Italy","Bulgaria","2.0",,,,
"1948-01-01","Italy","Ireland","1.0",,,,
"1948-01-01","Poland","Russia","130.0",,,,
"1948-01-01","Poland","Sweden","50.0",,,,
"1948-01-01","France","Portugal","9.0",,,,
"1948-01-01","Netherlands","Russia","3.0",,,,
"1948-01-01","Poland","Hungary","4.0",,,,
"1948-01-01","Hungary","Norway","1.0",,,,
"1948-01-01","Spain","Italy","7.0",,,,
"1948-01-01","Sweden","France","71.0",,,,
"1948-01-01","Yugoslavia","Russia","34.0",,,,
"1948-01-01","France","Spain","18.0",,,,
"1948-01-01","Netherlands","Italy","21.0",,,,
"1948-01-01","France","Hungary","3.0",,,,
"1948-01-01","Ireland","Italy","2.0",,,,
"1948-01-01","France","Russia","11.0",,,,
"1948-01-01","Netherlands","Yugoslavia","20.0",,,,
"1948-01-01","Denmark","France","23.0",,,,
"1949-01-01","Poland","France","35.0",,,,
"1949-01-01","Spain","Sweden","10.0",,,,
"1949-01-01","Spain","Norway","8.0",,,,
"1949-01-01","Yugoslavia","Romania","1.0",,,,
"1949-01-01","Spain","Denmark","8.0",,,,
"1949-01-01","Norway","France","41.0",,,,
"1949-01-01","Portugal","Denmark","3.0",,,,
"1949-01-01","Greece","Yugoslavia","1.0",,,,
"1949-01-01","Spain","France","29.0",,,,
"1949-01-01","Norway","Sweden","109.0",,,,
"1949-01-01","Yugoslavia","Sweden","7.0",,,,
"1949-01-01","Denmark","France","38.0",,,,
"1949-01-01","Greece","France","19.0",,,,
"1949-01-01","Spain","Netherlands","14.0",,,,
"1949-01-01","Hungary","Yugoslavia","5.0",,,,
"1949-01-01","Ireland","Norway","1.0",,,,
"1949-01-01","Denmark","Russia","3.0",,,,
"1949-01-01","Yugoslavia","Italy","34.0",,,,
"1949-01-01","Sweden","Greece","3.0",,,,
"1949-01-01","Norway","Greece","1.0",,,,
"1949-01-01","Italy","Norway","10.0",,,,
"1949-01-01","Russia","Norway","21.0",,,,
"1949-01-01","Italy","Bulgaria","3.0",,,,
"1949-01-01","Netherlands","France","127.0",,,,
"1949-01-01","Norway","Portugal","2.0",,,,
"1949-01-01","Italy","Portugal","4.0",,,,
"1949-01-01","Hungary","France","6.0",,,,
"1949-01-01","Ireland","Greece","2.0",,,,
"1949-01-01","Romania","Sweden","1.0",,,,
"1949-01-01","Italy","Denmark","19.0",,,,
"1949-01-01","Netherlands","Sweden","60.0",,,,
"1949-01-01","Romania","Netherlands","1.0",,,,
"1949-01-01","Yugoslavia","Denmark","1.0",,,,
"1949-01-01","Portugal","Sweden","8.0",,,,
"1949-01-01","Italy","France","46.0",,,,
"1949-01-01","France","Spain","46.0",,,,
"1949-01-01","Portugal","Spain","3.0",,,,
"1949-01-01","Spain","Portugal","2.0",,,,
"1949-01-01","Poland","Norway","14.0",,,,
"1949-01-01","Netherlands","Norway","18.0",,,,
"1949-01-01","Sweden","Hungary","6.0",,,,
"1949-01-01","Hungary","Netherlands","6.0",,,,
"1949-01-01","Sweden","Ireland","1.0",,,,
"1949-01-01","France","Poland","41.0",,,,
"1949-01-01","Denmark","Hungary","3.0",,,,
"1949-01-01","Netherlands","Greece","2.0",,,,
"1949-01-01","Yugoslavia","Russia","5.0",,,,
"1949-01-01","Russia","Portugal","1.0",,,,
"1949-01-01","Poland","Italy","13.0",,,,
"1949-01-01","Greece","Sweden","12.0",,,,
"1949-01-01","Portugal","Netherlands","9.0",,,,
"1949-01-01","Denmark","Italy","20.0",,,,
"1949-01-01","Sweden","Poland","55.0",,,,
"1949-01-01","Portugal","Italy","3.0",,,,
"1949-01-01","Italy","Greece","5.0",,,,
"1949-01-01","Italy","Netherlands","25.0",,,,
"1949-01-01","France","Yugoslavia","3.0",,,,
"1949-01-01","France","Italy","60.0",,,,
"1949-01-01","Sweden","Netherlands","57.0",,,,
"1949-01-01","Ireland","Sweden","10.0",,,,
"1949-01-01","Italy","Spain","10.0",,,,
"1949-01-01","Italy","Romania","1.0",,,,
"1949-01-01","Denmark","Norway","30.0",,,,
"1949-01-01","Norway","Italy","18.0",,,,
"1949-01-01","Poland","Yugoslavia","4.0",,,,
"1949-01-01","Greece","Norway","2.0",,,,
"1949-01-01","Netherlands","Russia","22.0",,,,
"1949-01-01","Poland","Portugal","1.0",,,,
"1949-01-01","Ireland","Italy","2.0",,,,
"1949-01-01","Ireland","Netherlands","12.0",,,,
"1949-01-01","Italy","Sweden","32.0",,,,
"1949-01-01","Netherlands","Portugal","3.0",,,,
"1949-01-01","Greece","Netherlands","8.0",,,,
"1949-01-01","Russia","Yugoslavia","10.0",,,,
"1949-01-01","Sweden","Yugoslavia","7.0",,,,
"1949-01-01","Ireland","Poland","1.0",,,,
"1949-01-01","Portugal","Poland","1.0",,,,
"1949-01-01","Norway","Denmark","33.0",,,,
"1949-01-01","Norway","Spain","8.0",,,,
"1949-01-01","France","Netherlands","80.0",,,,
"1949-01-01","Netherlands","Spain","14.0",,,,
"1949-01-01","Denmark","Spain","9.0",,,,
"1949-01-01","Bulgaria","Italy","3.0",,,,
"1949-01-01","Hungary","Denmark","1.0",,,,
"1949-01-01","France","Portugal","12.0",,,,
"1949-01-01","Italy","Poland","34.0",,,,
"1949-01-01","Norway","Russia","22.0",,,,
"1949-01-01","France","Hungary","7.0",,,,
"1949-01-01","Portugal","France","23.0",,,,
"1949-01-01","Ireland","Portugal","2.0",,,,
"1949-01-01","France","Sweden","50.0",,,,
"1949-01-01","Denmark","Romania","3.0",,,,
"1949-01-01","Romania","France","1.0",,,,
"1949-01-01","Ireland","France","7.0",,,,
"1949-01-01","Italy","Hungary","7.0",,,,
"1949-01-01","Netherlands","Hungary","11.0",,,,
"1949-01-01","Portugal","Norway","5.0",,,,
"1949-01-01","Ireland","Denmark","2.0",,,,
"1949-01-01","Norway","Romania","1.0",,,,
"1949-01-01","Hungary","Sweden","6.0",,,,
"1949-01-01","Sweden","Bulgaria","1.0",,,,
"1949-01-01","Sweden","Italy","36.0",,,,
"1949-01-01","Denmark","Sweden","54.0",,,,
"1949-01-01","France","Russia","5.0",,,,
"1949-01-01","Russia","Netherlands","7.0",,,,
