# Pac-10
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Oregon State	11	1	.917	7	1	.875	33.3	17.7	17.33	3.83		4	4	
Washington	11	1	.917	7	1	.875	32.3	22.5	16.91	7.57	13	3	3	
Oregon	10	2	.833	7	1	.875	29.3	20.8	13.75	5.08		5	7	
Stanford	5	6	.455	4	4	.500	23.7	26.7	5.85	8.12				
Arizona State	6	6	.500	3	5	.375	26.1	25.3	5.92	4.75				
UCLA	6	6	.500	3	5	.375	29.4	30.7	7.57	8.32		6		
Arizona	5	6	.455	3	5	.375	23.1	21.5	7.80	7.16		21		
USC	5	7	.417	2	6	.250	25.8	28.1	4.37	6.45	15	8		
Washington State	4	7	.364	2	6	.250	25.5	32.2	1.93	6.66				
California	3	8	.273	2	6	.250	22.4	26.8	2.11	7.11				

# Big East
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Miami (FL)	11	1	.917	7	0	1.000	42.2	15.8	23.22	5.22	5	2	2	
Virginia Tech	11	1	.917	6	1	.857	40.3	22.4	19.42	4.00	11	2	6	
Pitt	7	5	.583	4	3	.571	24.7	20.6	5.68	1.93				
Syracuse	6	5	.545	4	3	.571	26.7	19.3	6.94	3.12				
Boston College	7	5	.583	3	4	.429	31.5	23.1	6.30	1.72				
West Virginia	7	5	.583	3	4	.429	29.7	30.3	6.29	5.54				
Temple	4	7	.364	1	6	.143	20.4	24.5	-3.09	1.36				
Rutgers	3	8	.273	0	7	.000	21.2	36.3	-8.67	2.15				

# Big 12
North	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Nebraska	10	2	.833	6	2	.750	43.5	19.2	19.01	4.51	1	1	8	
Kansas State	11	3	.786	6	2	.750	39.2	18.6	15.72	3.93	8	2	9	
Iowa State	9	3	.750	5	3	.625	28.6	26.8	6.43	2.84		25	25	
Colorado	3	8	.273	3	5	.375	22.9	25.8	3.56	7.92	24	23		
Kansas	4	7	.364	2	6	.250	23.7	32.6	-1.95	4.60				
Missouri	3	8	.273	2	6	.250	23.2	31.6	-2.63	3.55				
South	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Oklahoma	13	0	1.000	8	0	1.000	37.0	14.9	21.56	5.32	19	1	1	
Texas	9	3	.750	7	1	.875	37.9	19.3	13.78	0.78	7	5	12	
Texas A&M	7	5	.583	5	3	.625	29.0	19.9	11.44	5.03		21		
Texas Tech	7	6	.538	3	5	.375	25.4	21.4	4.81	1.65				
Oklahoma State	3	8	.273	1	7	.125	18.4	27.5	-3.18	2.63				
Baylor	2	9	.182	0	8	.000	12.6	36.1	-11.48	4.71				

# SEC
East	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Florida	10	3	.769	7	1	.875	36.0	21.0	17.61	6.23	9	3	10	
Georgia	8	4	.667	5	3	.625	27.6	17.7	9.97	1.80	10	9	20	
South Carolina	8	4	.667	5	3	.625	23.6	15.1	9.69	2.86		17	19	
Tennessee	8	4	.667	5	3	.625	31.7	20.6	7.87	1.95	12	11		
Vanderbilt	3	8	.273	1	7	.125	17.5	24.8	-5.46	1.72				
Kentucky	2	9	.182	0	8	.000	23.1	34.8	-4.97	5.12				
West	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Auburn	9	4	.692	6	2	.750	24.3	20.5	7.64	3.56		15	18	
LSU	8	4	.667	5	3	.625	26.7	19.6	6.34	2.18		22	22	
Mississippi State	8	4	.667	4	4	.500	32.5	25.5	10.37	3.37		13	24	
Ole Miss	7	5	.583	4	4	.500	29.3	27.4	4.18	1.09	18	18		
Arkansas	6	6	.500	3	5	.375	23.2	24.1	-0.38	1.79				
Alabama	3	8	.273	3	5	.375	20.7	22.4	1.04	4.86	3	3		

# Big Ten
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Michigan	9	3	.750	6	2	.750	33.7	19.1	12.93	2.93	6	3	11	
Northwestern	8	4	.667	6	2	.750	36.8	33.3	8.85	4.26		12		
Purdue	8	4	.667	6	2	.750	31.8	22.2	9.26	2.93	14	9	13	
Ohio State	8	4	.667	5	3	.625	27.6	18.5	10.97	4.13	16	6		
Wisconsin	9	4	.692	4	4	.500	25.2	20.4	9.65	4.42	4	4	23	
Minnesota	6	6	.500	4	4	.500	31.3	26.5	3.02	0.10		22		
Penn State	5	7	.417	4	4	.500	22.0	24.4	-0.05	3.71	22	22		
Iowa	3	9	.250	3	5	.375	16.9	27.5	-2.40	6.86				
Illinois	5	6	.455	2	6	.250	26.7	26.0	2.59	2.31	21	19		
Michigan State	5	6	.455	2	6	.250	17.9	21.2	2.79	5.52	25	18		
Indiana	3	8	.273	2	6	.250	30.6	38.8	-2.67	3.88				

# ACC
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Florida State	11	2	.846	8	0	1.000	39.3	10.5	23.13	5.59	2	1	5	
Clemson	9	3	.750	6	2	.750	34.7	21.1	11.54	2.04	17	5	16	
Georgia Tech	9	3	.750	6	2	.750	32.2	19.8	11.30	1.21		15	17	
Virginia	6	6	.500	5	3	.625	20.2	24.3	0.10	3.18				
North Carolina State	8	4	.667	4	4	.500	31.6	28.2	3.92	-0.33		21		
North Carolina	6	5	.545	3	5	.375	24.5	25.8	2.40	1.85				
Maryland	5	6	.455	3	5	.375	22.5	25.8	0.54	2.26				
Wake Forest	2	9	.182	1	7	.125	16.5	32.9	-12.27	0.09				
Duke	0	11	.000	0	8	.000	14.1	39.1	-13.91	4.63				

# Conf-USA
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Louisville	9	3	.750	6	1	.857	33.8	22.3	7.37	-2.22		22		
East Carolina	8	4	.667	5	2	.714	30.8	21.3	6.93	-0.07				
Cincinnati	7	5	.583	5	2	.714	24.1	23.8	-0.11	-1.61				
Southern Mississippi	8	4	.667	4	3	.571	26.2	16.9	7.44	-0.14	23	13		
UAB	7	4	.636	3	3	.500	21.6	17.5	-0.69	-3.60				
Tulane	6	5	.545	3	4	.429	29.9	31.5	-5.54	-5.27				
Memphis	4	7	.364	2	5	.286	16.0	18.1	-7.05	-3.60				
Houston	3	8	.273	2	5	.286	19.2	33.6	-10.67	-0.67				
Army	1	10	.091	1	6	.143	20.4	33.8	-15.26	-2.26				

# Mountain West
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Colorado State	10	2	.833	6	1	.857	30.3	18.8	7.21	-3.54		14	14	
Air Force	9	3	.750	5	2	.714	35.1	26.0	2.84	-4.33				
Nevada-Las Vegas	8	5	.615	4	3	.571	28.5	21.2	1.23	-4.00				
Brigham Young	6	6	.500	4	3	.571	23.3	25.8	-0.66	1.17				
New Mexico	5	7	.417	3	4	.429	19.1	20.8	-4.00	-0.75				
Utah	4	7	.364	3	4	.429	21.3	18.8	-0.19	-1.37				
San Diego State	3	8	.273	3	4	.429	15.5	24.8	-5.61	2.12				
Wyoming	1	10	.091	0	7	.000	15.5	35.7	-16.79	-1.52				

# WAC
School	W	L	Pct	W	L	Pct	Pts	Pts	SRS	SOS	AP Pre	AP High	AP Post	Notes
Texas Christian	10	2	.833	7	1	.875	35.9	11.2	11.29	-5.79	20	9	21	
UTEP	8	4	.667	7	1	.875	31.5	28.0	3.10	-1.49				
Fresno State	7	5	.583	6	2	.750	26.4	20.9	2.22	-2.04				
San Jose State	7	5	.583	5	3	.625	31.2	29.8	-0.82	-2.74				
Tulsa	5	7	.417	4	4	.500	20.0	23.6	-8.77	-4.77				
Hawaii	3	9	.250	2	6	.250	24.5	33.3	-12.52	-4.18				
Rice	3	8	.273	2	6	.250	21.5	29.3	-7.49	-1.31				
SMU	3	9	.250	2	6	.250	15.1	29.3	-13.76	-3.85				
